,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,1923654,0820,THEFT,$500 AND UNDER,STREET,False,False,9.0,2005.0,11,23,0
1,1924734,0460,BATTERY,SIMPLE,SIDEWALK,False,False,5.0,2005.0,9,15,10
2,1923886,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,15.0,2005.0,4,28,14
3,1923976,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,7.0,2005.0,7,7,21
4,1924568,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,12.0,2005.0,9,3,13
5,1923964,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,10.0,2005.0,6,1,12
6,1924396,0890,THEFT,FROM BUILDING,OTHER,False,False,1.0,2005.0,9,20,0
7,1924301,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,4.0,2005.0,4,27,20
8,1927818,0460,BATTERY,SIMPLE,SIDEWALK,True,False,10.0,2005.0,8,19,20
9,1923887,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,11.0,2005.0,11,1,21
