,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,7,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,16.0,2003.0,1,16,23
1,31,0820,THEFT,$500 AND UNDER,STREET,False,False,1.0,2003.0,10,19,9
2,798,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,11.0,2003.0,11,5,20
3,1,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,7.0,2003.0,7,20,18
4,4,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,12.0,2003.0,8,18,12
5,22,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,6.0,2003.0,11,15,21
6,425,0460,BATTERY,SIMPLE,SIDEWALK,False,False,7.0,2003.0,11,7,14
7,9,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,8.0,2003.0,9,2,0
8,24,0810,THEFT,OVER $500,STREET,False,False,12.0,2003.0,10,29,14
9,1148,0460,BATTERY,SIMPLE,STREET,False,False,9.0,2003.0,5,17,18
