,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,3795964,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,5.0,2009.0,2,25,8
1,3796054,0460,BATTERY,SIMPLE,RESIDENCE,False,False,3.0,2009.0,5,22,13
2,3795970,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,11.0,2009.0,6,17,19
3,3796021,0820,THEFT,$500 AND UNDER,STREET,False,False,19.0,2009.0,9,13,0
4,3795965,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,15.0,2009.0,6,3,15
5,3795967,0460,BATTERY,SIMPLE,STREET,False,False,11.0,2009.0,10,9,16
6,3795934,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,7.0,2009.0,1,23,20
7,3795974,0560,ASSAULT,SIMPLE,RESIDENCE,True,False,4.0,2009.0,5,24,10
8,3795985,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,8.0,2009.0,7,5,0
9,3796066,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1.0,2009.0,9,26,16
