,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,6484764,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,11.0,2012.0,3,7,19
1,6487408,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,4.0,2012.0,2,3,9
2,6487649,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,16.0,2012.0,5,14,14
3,6502717,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,10.0,2012.0,10,13,22
4,6487658,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,7.0,2012.0,6,24,0
5,6507946,0560,ASSAULT,SIMPLE,STREET,False,True,11.0,2012.0,11,4,19
6,6508057,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,8.0,2012.0,5,6,11
7,6507958,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,6.0,2012.0,6,24,18
8,6487560,0820,THEFT,$500 AND UNDER,STREET,False,False,18.0,2012.0,11,1,12
9,6487399,0460,BATTERY,SIMPLE,SIDEWALK,False,False,11.0,2012.0,6,5,0
