,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,6485467,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,5.0,2015.0,6,18,10
1,6485350,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,False,11.0,2015.0,10,27,19
2,6485313,0890,THEFT,FROM BUILDING,STREET,False,False,11.0,2015.0,1,28,16
3,6485371,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,6.0,2015.0,3,21,22
4,6485470,0810,THEFT,OVER $500,STREET,False,False,12.0,2015.0,1,11,21
5,6485311,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,11.0,2015.0,6,6,18
6,6484757,0560,ASSAULT,SIMPLE,APARTMENT,False,False,5.0,2015.0,11,29,21
7,6485416,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,SIDEWALK,False,False,8.0,2015.0,5,12,21
8,6485314,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,True,False,8.0,2015.0,8,23,1
9,6485488,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,7.0,2015.0,2,12,4
10,6485345,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1.0,2015.0,8,21,13
11,6485471,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,8.0,2015.0,10,16,12
12,6485477,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,3.0,2015.0,5,8,14
13,6484724,0820,THEFT,$500 AND UNDER,STREET,False,False,18.0,2015.0,6,11,17
14,6487608,0820,THEFT,$500 AND UNDER,STREET,False,False,25.0,2015.0,11,12,20
15,6487632,0460,BATTERY,SIMPLE,SIDEWALK,False,False,4.0,2015.0,9,22,18
16,6486811,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,9.0,2015.0,3,13,22
17,6513559,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1.0,2015.0,10,23,15
18,6487709,0810,THEFT,OVER $500,RESIDENCE,False,False,4.0,2015.0,2,6,10
19,6485478,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,3.0,2015.0,5,26,22
20,6485434,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,2.0,2015.0,9,6,15
21,6485596,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,18.0,2015.0,12,21,12
22,6485439,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,3.0,2015.0,9,10,20
23,6484721,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,3.0,2015.0,1,27,21
24,6485387,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,10.0,2015.0,4,10,16
