,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,42,0820,THEFT,$500 AND UNDER,OTHER,False,False,1.0,2002.0,2,1,10
1,19,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,25.0,2002.0,9,19,8
2,545,0460,BATTERY,SIMPLE,SIDEWALK,False,False,19.0,2002.0,5,26,22
3,319,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,24.0,2002.0,8,25,13
4,397,0810,THEFT,OVER $500,STREET,False,False,18.0,2002.0,2,27,14
5,336,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,3.0,2002.0,9,4,22
6,152,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,8.0,2002.0,1,18,22
7,365,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,6.0,2002.0,5,15,19
8,92,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,3.0,2002.0,12,14,21
9,245,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,11.0,2002.0,12,1,19
10,750,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,False,False,14.0,2002.0,10,17,17
11,764,2027,NARCOTICS,POSS: CRACK,STREET,True,False,11.0,2002.0,1,12,11
12,1138,0460,BATTERY,SIMPLE,APARTMENT,False,False,7.0,2002.0,4,21,18
13,423,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,8.0,2002.0,11,1,0
14,261,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,16.0,2002.0,12,27,14
15,632,0460,BATTERY,SIMPLE,STREET,False,False,12.0,2002.0,1,25,15
16,509,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,18.0,2002.0,9,25,20
17,3498,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,18.0,2002.0,3,15,14
18,658,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,15.0,2002.0,8,13,23
19,72,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,False,False,5.0,2002.0,1,2,22
20,570,0820,THEFT,$500 AND UNDER,STREET,False,False,25.0,2002.0,12,14,9
21,727,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,8.0,2002.0,2,5,0
22,752,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,25.0,2002.0,4,18,7
23,4872,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,8.0,2002.0,9,5,8
24,1068,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,19.0,2002.0,2,12,13
