,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,348,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,2.0,2001.0,11,27,16
1,78,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2.0,2002.0,12,25,21
2,69,0820,THEFT,$500 AND UNDER,STREET,False,False,2.0,2008.0,5,30,15
3,640,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2.0,2010.0,1,7,14
4,719,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA PARKING LOT/GROUNDS,True,False,2.0,2001.0,9,12,13
5,271,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,2.0,2001.0,4,4,3
6,2015,0460,BATTERY,SIMPLE,STREET,True,False,2.0,2001.0,4,22,21
7,3423,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2.0,2008.0,4,28,21
8,35,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2.0,2006.0,7,17,0
9,464,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2.0,2009.0,5,7,11
