,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,683,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,STREET,True,False,11.0,2003.0,7,13,1
1,165,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,11.0,2003.0,6,14,12
2,14,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,25.0,2003.0,11,27,9
3,297,0890,THEFT,FROM BUILDING,APARTMENT,False,False,12.0,2003.0,10,23,22
4,39,0820,THEFT,$500 AND UNDER,STREET,False,False,4.0,2003.0,8,12,18
5,4,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,22.0,2003.0,10,27,10
6,100,0560,ASSAULT,SIMPLE,STREET,False,False,9.0,2003.0,9,6,22
7,613,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,11.0,2003.0,11,11,17
8,792,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,False,False,4.0,2003.0,11,26,16
9,650,0460,BATTERY,SIMPLE,SIDEWALK,False,False,12.0,2003.0,8,18,19
10,411,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,14.0,2003.0,9,28,14
11,62,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,19.0,2003.0,5,8,16
12,125,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,2.0,2003.0,1,8,17
13,101,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,5.0,2003.0,5,1,16
14,498,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2.0,2003.0,4,8,13
15,69,0460,BATTERY,SIMPLE,RESIDENCE,False,False,2.0,2003.0,2,5,9
16,9,0810,THEFT,OVER $500,STREET,False,False,12.0,2003.0,1,8,12
17,115,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,True,False,1.0,2003.0,7,31,20
18,593,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,9.0,2003.0,1,8,14
19,238,0820,THEFT,$500 AND UNDER,STREET,False,False,25.0,2003.0,3,10,7
20,6948,0460,BATTERY,SIMPLE,STREET,False,False,10.0,2003.0,10,26,22
21,22,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,3.0,2003.0,1,27,22
22,1121,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,14.0,2003.0,3,7,20
23,281,0820,THEFT,$500 AND UNDER,STREET,False,False,12.0,2003.0,5,29,22
24,3060,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,12.0,2003.0,8,4,11
25,2083,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,False,False,12.0,2003.0,1,15,19
26,1155,0460,BATTERY,SIMPLE,STREET,False,False,2.0,2003.0,9,22,23
27,1130,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,True,22.0,2003.0,8,6,7
28,425,0460,BATTERY,SIMPLE,STREET,False,False,15.0,2003.0,8,30,9
29,6922,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,11.0,2003.0,8,27,22
30,6886,0560,ASSAULT,SIMPLE,STREET,False,False,5.0,2003.0,9,12,12
31,1820,0460,BATTERY,SIMPLE,SIDEWALK,True,False,9.0,2003.0,8,28,21
32,35,0890,THEFT,FROM BUILDING,RESIDENCE,False,True,7.0,2003.0,6,16,12
33,331,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,18.0,2003.0,12,7,9
34,349,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,1.0,2003.0,3,1,12
35,720,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,2.0,2003.0,10,14,21
36,2142,0460,BATTERY,SIMPLE,STREET,False,False,6.0,2003.0,5,9,13
37,1,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,8.0,2003.0,8,1,0
38,85,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,5.0,2003.0,3,1,9
39,1044,0890,THEFT,FROM BUILDING,APARTMENT,True,False,24.0,2003.0,3,23,12
40,489730,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,15.0,2003.0,2,3,15
41,6883,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,9.0,2003.0,10,4,23
42,396,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,11.0,2003.0,10,5,22
43,342,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,8.0,2003.0,12,2,20
44,6943,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,22.0,2003.0,12,26,22
45,358,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,8.0,2003.0,7,5,0
46,6965,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,False,8.0,2003.0,11,16,12
47,2890,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,7.0,2003.0,7,6,21
48,849225,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,25.0,2003.0,11,28,13
49,6950,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,25.0,2003.0,7,5,14
