,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,74,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,15.0,2004.0,5,19,21
1,0,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,25.0,2004.0,6,10,16
2,5,0810,THEFT,OVER $500,STREET,False,False,6.0,2004.0,8,12,12
3,180,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,5.0,2004.0,1,6,22
4,67,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,11.0,2004.0,7,8,19
5,146,0820,THEFT,$500 AND UNDER,STREET,False,False,12.0,2004.0,6,14,22
6,46,0460,BATTERY,SIMPLE,STREET,True,False,6.0,2004.0,12,18,22
7,11,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,19.0,2004.0,11,19,22
8,44,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,3.0,2004.0,9,18,15
9,104,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,8.0,2004.0,9,11,20
