,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,3797033,0460,BATTERY,SIMPLE,STREET,False,False,19.0,2011.0,3,2,22
1,3808558,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,11.0,2011.0,11,4,20
2,3797178,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,8.0,2011.0,5,29,14
3,3797170,0810,THEFT,OVER $500,STREET,False,False,1.0,2011.0,1,4,13
4,3797182,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,7.0,2011.0,10,23,9
5,3808913,0810,THEFT,OVER $500,STREET,False,False,1.0,2011.0,5,19,23
6,3809083,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,9.0,2011.0,9,29,16
7,3797136,0820,THEFT,$500 AND UNDER,STREET,False,False,8.0,2011.0,8,17,11
8,3797132,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,4.0,2011.0,12,6,21
9,3796195,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,22.0,2011.0,4,15,19
