,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,67,143A,NARCOTICS,UNLAWFUL POSS OF HANDGUN,RESIDENCE,True,False,2.0,2004.0,12,2,12
1,2609,0560,ASSAULT,SIMPLE,STREET,False,False,2.0,2001.0,10,19,15
2,3374,1330,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,True,False,2.0,2003.0,3,4,19
3,404,0460,BATTERY,SIMPLE,STREET,False,False,2.0,2002.0,3,14,13
4,640,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,2.0,2009.0,9,25,9
5,2582,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2.0,2006.0,5,24,19
6,590,0820,THEFT,$500 AND UNDER,STREET,False,False,2.0,2001.0,2,16,7
7,842,0820,THEFT,$500 AND UNDER,STREET,False,False,2.0,2009.0,10,22,21
8,1829,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2.0,2001.0,2,9,20
9,2668,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,2.0,2007.0,5,30,16
10,1993,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2.0,2006.0,7,19,15
11,35,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2.0,2002.0,4,23,9
12,987,0810,THEFT,OVER $500,STREET,False,False,2.0,2010.0,5,24,22
13,4708,0810,THEFT,OVER $500,SIDEWALK,False,False,2.0,2008.0,5,23,14
14,4286,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,2.0,2006.0,2,26,10
15,745,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2.0,2008.0,1,24,8
16,311,0820,THEFT,$500 AND UNDER,STREET,False,False,2.0,2004.0,7,24,21
17,2033,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,2.0,2005.0,2,8,22
18,4497,0460,BATTERY,SIMPLE,RESIDENCE,True,False,2.0,2007.0,8,9,14
19,3537,0820,THEFT,$500 AND UNDER,STREET,False,False,2.0,2008.0,6,28,17
20,1579,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2.0,2008.0,7,7,18
21,3589,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2.0,2002.0,1,14,20
22,719,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,2.0,2001.0,2,27,12
23,5717,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,2.0,2005.0,5,20,14
24,1695,0810,THEFT,OVER $500,STREET,False,False,2.0,2006.0,2,11,15
