,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,6487668,0810,THEFT,OVER $500,STREET,False,False,2.0,2013.0,2,15,16
1,6485642,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,12.0,2013.0,11,23,22
2,6485594,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,18.0,2013.0,12,18,9
3,6484794,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,11.0,2013.0,4,17,19
4,6487663,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,7.0,2013.0,10,6,22
5,6485606,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,11.0,2013.0,2,2,1
6,6487402,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,False,False,12.0,2013.0,1,9,12
7,6486551,0820,THEFT,$500 AND UNDER,STREET,False,False,5.0,2013.0,8,16,15
8,6485306,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,4.0,2013.0,4,22,11
9,6487662,0460,BATTERY,SIMPLE,STREET,False,False,17.0,2013.0,7,12,15
